pixel,flux_adu
3.930000000000000000e+02,2.011500000000000000e+03
3.940000000000000000e+02,1.927999999999999545e+03
3.950000000000000000e+02,1.828499999999998636e+03
3.960000000000000000e+02,1.766499999999999545e+03
3.970000000000000000e+02,1.796500000000000682e+03
3.980000000000000000e+02,1.783999999999998408e+03
3.990000000000000000e+02,1.606500000000001137e+03
4.000000000000000000e+02,1.540499999999998636e+03
4.010000000000000000e+02,1.451500000000000000e+03
4.020000000000000000e+02,1.458000000000000000e+03
4.030000000000000000e+02,1.548999999999999773e+03
4.040000000000000000e+02,1.539500000000000682e+03
4.050000000000000000e+02,1.491000000000001592e+03
4.060000000000000000e+02,1.452000000000001137e+03
4.070000000000000000e+02,1.480000000000001592e+03
4.080000000000000000e+02,1.430000000000001137e+03
4.090000000000000000e+02,1.276999999999998636e+03
4.100000000000000000e+02,1.128999999999999545e+03
4.110000000000000000e+02,1.229500000000000455e+03
4.120000000000000000e+02,1.212999999999998863e+03
4.130000000000000000e+02,1.123500000000001364e+03
4.140000000000000000e+02,1.246499999999999091e+03
4.150000000000000000e+02,1.279000000000000909e+03
4.160000000000000000e+02,1.140999999999999773e+03
4.170000000000000000e+02,1.093499999999999545e+03
4.180000000000000000e+02,9.760000000000001137e+02
4.190000000000000000e+02,9.535000000000011369e+02
4.200000000000000000e+02,1.001500000000000227e+03
4.210000000000000000e+02,1.046999999999998863e+03
4.220000000000000000e+02,1.032499999999999318e+03
4.230000000000000000e+02,9.990000000000013642e+02
4.240000000000000000e+02,1.039000000000001137e+03
4.250000000000000000e+02,1.093500000000000227e+03
4.260000000000000000e+02,1.277999999999998636e+03
4.270000000000000000e+02,1.175000000000000909e+03
4.280000000000000000e+02,1.100999999999999091e+03
4.290000000000000000e+02,1.259999999999998408e+03
4.300000000000000000e+02,1.378499999999998408e+03
4.310000000000000000e+02,1.255999999999999773e+03
4.320000000000000000e+02,1.229499999999998408e+03
4.330000000000000000e+02,1.258500000000001364e+03
4.340000000000000000e+02,1.252499999999999318e+03
4.350000000000000000e+02,1.266000000000000455e+03
4.360000000000000000e+02,1.386500000000000682e+03
4.370000000000000000e+02,1.272000000000001137e+03
4.380000000000000000e+02,1.328500000000000455e+03
4.390000000000000000e+02,1.447000000000001364e+03
4.400000000000000000e+02,1.368999999999999545e+03
