pixel,flux_adu
2.960000000000000000e+02,1.634345112034327940e+03
2.970000000000000000e+02,1.570548092167233108e+03
2.980000000000000000e+02,1.804931933666567829e+03
2.990000000000000000e+02,1.625869716444896767e+03
3.000000000000000000e+02,1.958289993940915110e+03
3.010000000000000000e+02,1.817362799642990467e+03
3.020000000000000000e+02,1.725533352795737301e+03
3.030000000000000000e+02,1.794535891006670681e+03
3.040000000000000000e+02,1.932797343523777499e+03
3.050000000000000000e+02,1.788343315618421684e+03
3.060000000000000000e+02,1.809015027548912485e+03
3.070000000000000000e+02,1.957282062138425772e+03
3.080000000000000000e+02,2.269310567552657176e+03
3.090000000000000000e+02,2.683120524797089274e+03
3.100000000000000000e+02,2.484565272663501219e+03
3.110000000000000000e+02,1.689236311061392598e+03
3.120000000000000000e+02,1.200527394831607353e+03
3.130000000000000000e+02,1.648974036500701231e+03
3.140000000000000000e+02,1.425065373806181242e+03
3.150000000000000000e+02,2.049655605246401592e+03
3.160000000000000000e+02,1.922111188462344899e+03
3.170000000000000000e+02,2.234682937824318287e+03
3.180000000000000000e+02,2.292242886333196566e+03
3.190000000000000000e+02,2.123202882263565243e+03
3.200000000000000000e+02,1.764813299953165597e+03
3.210000000000000000e+02,1.765209275158521450e+03
3.220000000000000000e+02,2.052246918246290079e+03
3.230000000000000000e+02,1.850496631638641702e+03
3.240000000000000000e+02,2.011263149214374835e+03
3.250000000000000000e+02,2.100378020619575636e+03
3.260000000000000000e+02,1.868111566034885072e+03
3.270000000000000000e+02,1.912189827267224700e+03
3.280000000000000000e+02,1.579474698027403974e+03
3.290000000000000000e+02,1.525022527220636221e+03
3.300000000000000000e+02,1.417744542861415994e+03
3.310000000000000000e+02,1.745542611811921915e+03
3.320000000000000000e+02,1.699203094558861721e+03
3.330000000000000000e+02,1.819613300739158603e+03
3.340000000000000000e+02,1.861763256510676001e+03
3.350000000000000000e+02,1.842827883077914748e+03
3.360000000000000000e+02,1.907196803814822033e+03
3.370000000000000000e+02,1.864358813500815813e+03
3.380000000000000000e+02,1.924390574177632971e+03
3.390000000000000000e+02,1.562805482016220594e+03
3.400000000000000000e+02,1.438781728542702695e+03
3.410000000000000000e+02,1.277577180392666151e+03
3.420000000000000000e+02,1.623939674407943585e+03
3.430000000000000000e+02,1.774022799254740221e+03
3.440000000000000000e+02,1.814281824142560936e+03
3.450000000000000000e+02,1.773154149872317021e+03
3.460000000000000000e+02,1.570201973739104460e+03
3.470000000000000000e+02,1.206891497194762678e+03
3.480000000000000000e+02,1.616209816475202842e+03
3.490000000000000000e+02,1.853772669489791042e+03
3.500000000000000000e+02,1.841069530573517113e+03
3.510000000000000000e+02,1.647596383771877754e+03
3.520000000000000000e+02,2.071928149045350438e+03
3.530000000000000000e+02,1.968416910885383231e+03
3.540000000000000000e+02,1.623342549157355506e+03
3.550000000000000000e+02,1.736472149536240067e+03
3.560000000000000000e+02,1.751907458754293430e+03
3.570000000000000000e+02,1.892858667808920245e+03
3.580000000000000000e+02,2.156827975038850582e+03
3.590000000000000000e+02,2.361914185620180433e+03
3.600000000000000000e+02,2.177311808756669961e+03
3.610000000000000000e+02,2.389642110304728703e+03
3.620000000000000000e+02,2.842068808638638075e+03
3.630000000000000000e+02,2.801427184773973750e+03
3.640000000000000000e+02,2.960009034653578965e+03
3.650000000000000000e+02,2.706181089421076649e+03
3.660000000000000000e+02,2.416379799530727269e+03
3.670000000000000000e+02,2.529218633825461893e+03
3.680000000000000000e+02,2.892832635134325301e+03
3.690000000000000000e+02,3.004858273158335123e+03
3.700000000000000000e+02,2.811402873129585259e+03
3.710000000000000000e+02,3.097457975567529502e+03
3.720000000000000000e+02,3.729125738610047392e+03
3.730000000000000000e+02,3.614337073128348038e+03
3.740000000000000000e+02,3.425438209832912435e+03
3.750000000000000000e+02,3.801877745712345586e+03
3.760000000000000000e+02,4.136540147247460482e+03
3.770000000000000000e+02,3.830020071388320957e+03
3.780000000000000000e+02,3.698109381515233054e+03
3.790000000000000000e+02,3.534742929927978366e+03
3.800000000000000000e+02,3.675161770549625089e+03
3.810000000000000000e+02,3.462260990468856562e+03
3.820000000000000000e+02,3.738453095012396261e+03
3.830000000000000000e+02,3.330219399073894238e+03
3.840000000000000000e+02,2.799987825548609180e+03
3.850000000000000000e+02,2.734018691354099246e+03
3.860000000000000000e+02,3.420698652563843552e+03
3.870000000000000000e+02,2.784365538201148865e+03
3.880000000000000000e+02,2.489539245941766694e+03
3.890000000000000000e+02,2.802463638581939449e+03
3.900000000000000000e+02,3.235607281208569020e+03
3.910000000000000000e+02,3.948237390650791440e+03
3.920000000000000000e+02,4.023368176171157302e+03
3.930000000000000000e+02,3.401582379773716184e+03
3.940000000000000000e+02,3.193026946682036396e+03
3.950000000000000000e+02,3.412148196422527235e+03
3.960000000000000000e+02,3.378961923245622529e+03
3.970000000000000000e+02,2.996703363406454173e+03
3.980000000000000000e+02,3.169056765654045648e+03
3.990000000000000000e+02,3.388853816448297493e+03
4.000000000000000000e+02,3.148247292870225010e+03
4.010000000000000000e+02,3.066463006854462947e+03
4.020000000000000000e+02,2.996301921062450674e+03
4.030000000000000000e+02,2.993597669184206552e+03
4.040000000000000000e+02,2.516945714448780564e+03
4.050000000000000000e+02,2.343356838318091377e+03
4.060000000000000000e+02,2.817616003899435782e+03
4.070000000000000000e+02,3.036601946225356187e+03
4.080000000000000000e+02,3.011191150512797321e+03
4.090000000000000000e+02,2.441165444284892146e+03
4.100000000000000000e+02,2.267940092401373022e+03
4.110000000000000000e+02,2.428031148275262694e+03
4.120000000000000000e+02,2.386096212181081228e+03
4.130000000000000000e+02,2.204752149587269287e+03
